

    0.717287806869080845E-80   -0.191557761058288474E+04    0.561868083160991372E+01    0.112191648901017116E+01    0.997962962716049162E+01    0.174452123311384627E+00    0.132245597521134983E+01    0.103279887380943336E+01   -0.328901161526000951E+01
    0.226963670495371866E-97   -0.183498834301801480E+04    0.358145899211338531E+03    0.211808461926593550E+01    0.100943258512595904E+02    0.228392091921702733E+00    0.844713444158938009E+00    0.716164946706774996E+00   -0.287942359968572426E+01
    0.323457092808650856E-86   -0.188635376807999592E+04    0.984218269578277955E+03    0.228312303764272445E+00    0.996734191302052608E+01    0.814395654981994732E-01    0.523608296260511419E+00    0.130864336407297266E+01   -0.266602855759458990E+01
    0.335402279097523410E-87   -0.188182112624134743E+04    0.247089435286685877E+02    0.145459315290312363E+00    0.978108421746297552E+01    0.295553136686756535E+00    0.296469207424613534E+01    0.543128895775753628E+00   -0.249167694801293571E+01
    0.840276808827797112E-77   -0.192970962955591449E+04    0.340592707879917143E+02    0.142531368037092012E-01    0.987368224999583788E+01    0.137056833694160440E+00    0.106378744093963551E+01    0.824532182313600703E+00   -0.246396698853799911E+01
    0.302514668086827535E-97   -0.183556302262408644E+04    0.603617296725679012E+03    0.183968576814528065E-01    0.979450122109876631E+01    0.309598634724777111E+00    0.108196949121946107E+01    0.579223992305462287E+00   -0.398080219392149859E+01
    0.162152248362054910E-82   -0.190339338727942368E+04    0.371785623440044262E+02    0.260832312358062826E-01    0.100845010280609131E+02    0.322595238685607910E-02    0.574783086776733398E+00    0.807035923004150391E+00   -0.308374249935150146E+01
    0.580919441725807118E-95   -0.184607832764982913E+04    0.554235690688264185E+03    0.139483584303426323E-01    0.976080537287216288E+01    0.239271214986087111E+00    0.181517662476332053E+01    0.399555743088595983E+00   -0.258880314458842697E+01
    0.289592635825491694E-89   -0.187231707504313181E+04    0.678911861148557882E+01    0.160785669027824485E-01    0.984435793537663351E+01    0.553898508894201003E+00    0.457597901163881016E+01    0.728047676506071273E+00   -0.230305731174875250E+01
    0.158855270360740098E-97   -0.183427475016918584E+04    0.260799114816920110E+03    0.577916484934434677E-01    0.962440548173003307E+01    0.219962550981483929E+00    0.583782594927563725E+01    0.157678880306744440E+01   -0.328111607474846156E+01
    0.471467882430982776E-90   -0.186868665635812113E+04    0.255770536323160371E+02    0.509265341537570790E-01    0.982311534478544068E+01    0.436091390020675818E+00    0.395795960609886244E+01    0.114302891350444558E+01   -0.370260034563467944E+01
